wavelength(nm),aw,bbw
645,0.325,0.000425341
646,0.328,0.000422517
647,0.331,0.000419716
648,0.334,0.000416938
649,0.337,0.000414182
650,0.34,0.000411449
651,0.3462,0.000408739
652,0.3524,0.00040605
653,0.3586,0.000403383
654,0.3648,0.000400737
655,0.371,0.000398113
656,0.3788,0.00039551
657,0.3866,0.000392928
658,0.3944,0.000390366
659,0.4022,0.000387826
660,0.41,0.000385305
661,0.4138,0.000382805
662,0.4176,0.000380325
663,0.4214,0.000377864
664,0.4252,0.000375423
665,0.429,0.000373002
666,0.431,0.000370599
667,0.433,0.000368216
668,0.435,0.000365852
669,0.437,0.000363506
670,0.439,0.000361179
671,0.4408,0.00035887
672,0.4426,0.000356579
673,0.4444,0.000354306
674,0.4462,0.000352052
675,0.448,0.000349814
676,0.4514,0.000347595
677,0.4548,0.000345392
678,0.4582,0.000343207
679,0.4616,0.000341039
680,0.465,0.000338887
681,0.4692,0.000336753
682,0.4734,0.000334635
683,0.4776,0.000332533
684,0.4818,0.000330448
685,0.486,0.000328378
686,0.492,0.000326325
687,0.498,0.000324287
688,0.504,0.000322265
689,0.51,0.000320259
690,0.516,0.000318268
691,0.5246,0.000316292
692,0.5332,0.000314331
693,0.5418,0.000312386
694,0.5504,0.000310455
695,0.559,0.000308538
696,0.572,0.000306637
697,0.585,0.000304749
698,0.598,0.000302876
699,0.611,0.000301018
700,0.624,0.000299173
701,0.64,0.000297342
702,0.656,0.000295525
703,0.672,0.000293722
704,0.688,0.000291932
705,0.704,0.000290155
706,0.7286,0.000288392
707,0.7532,0.000286642
708,0.7778,0.000284905
709,0.8024,0.000283182
710,0.827,0.000281471
711,0.863,0.000279772
712,0.899,0.000278086
713,0.935,0.000276413
714,0.971,0.000274752
715,1.007,0.000273104
716,1.0518,0.000271467
717,1.0966,0.000269843
718,1.1414,0.000268231
719,1.1862,0.00026663
720,1.231,0.000265042
721,1.294622322,0.000263465
722,1.358244644,0.000261899
723,1.421866966,0.000260345
724,1.485489288,0.000258802
725,1.55596411,0.000257271
726,1.638499335,0.00025575
727,1.721034559,0.000254241
728,1.803569783,0.000252743
729,1.886105008,0.000251255
730,1.970323472,0.000249779
731,2.075919087,0.000248313
732,2.181514702,0.000246857
733,2.287110318,0.000245413
734,2.392705933,0.000243978
735,2.498301548,0.000242554
736,2.568291393,0.00024114
737,2.623445503,0.000239736
738,2.678599613,0.000238342
739,2.733753723,0.000236959
740,2.773438626,0.000235585
741,2.785021138,0.000234221
742,2.796603651,0.000232866
743,2.808186163,0.000231522
744,2.819768675,0.000230187
745,2.831351188,0.000228861
746,2.836304235,0.000227545
747,2.840027434,0.000226238
748,2.843750632,0.00022494
749,2.847473831,0.000223652
750,2.851691591,0.000222372
751,2.856734277,0.000221102
752,2.861776964,0.00021984
753,2.866819651,0.000218588
754,2.871862338,0.000217344
755,2.876905025,0.000216109
756,2.875651575,0.000214882
757,2.871863664,0.000213664
758,2.868075752,0.000212455
759,2.86428784,0.000211254
760,2.860935481,0.000210061
761,2.860729988,0.000208877
762,2.860524495,0.0002077
763,2.860319002,0.000206532
764,2.860113509,0.000205373
765,2.856933118,0.000204221
766,2.850451551,0.000203077
767,2.843969983,0.000201941
768,2.837488415,0.000200812
769,2.831006847,0.000199692
770,2.824525279,0.000198579
771,2.813758874,0.000197474
772,2.799939946,0.000196376
773,2.786121018,0.000195286
774,2.77230209,0.000194204
775,2.758483162,0.000193129
776,2.74490209,0.000192061
777,2.731378196,0.000191
778,2.717854301,0.000189947
779,2.704330406,0.0001889
780,2.690806512,0.000187861
781,2.671231413,0.000186829
782,2.651461428,0.000185804
783,2.631691444,0.000184786
784,2.61192146,0.000183774
785,2.591730055,0.00018277
786,2.565994638,0.000181772
787,2.54025922,0.000180781
788,2.514523803,0.000179796
789,2.488788385,0.000178819
790,2.463467718,0.000177847
791,2.441482829,0.000176883
792,2.41949794,0.000175924
793,2.397513051,0.000174972
794,2.375528162,0.000174027
795,2.353588303,0.000173087
796,2.332118392,0.000172154
797,2.310648481,0.000171227
798,2.28917857,0.000170307
799,2.267708658,0.000169392
800,2.246238747,0.000168483
801,2.23735075,0.000167581
802,2.2285015,0.000166684
803,2.21965225,0.000165793
804,2.210803,0.000164908
805,2.20195375,0.000164029
806,2.198311979,0.000163156
807,2.195610722,0.000162288
808,2.192909465,0.000161427
809,2.190208208,0.00016057
810,2.187506952,0.00015972
811,2.193949053,0.000158874
812,2.205825192,0.000158035
813,2.217701332,0.000157201
814,2.229577471,0.000156372
815,2.24145361,0.000155549
816,2.256151519,0.000154731
817,2.27634374,0.000153918
